date,stage,home_team,away_team,home_score,away_score,actual_result,predicted_result,correct,p_home_win,p_draw,p_away_win,lambda_home,lambda_away,log_loss,brier_score,favourite_prob,was_upset
2022-11-29T18:00:00,GROUP_STAGE,Ecuador,Senegal,1,2,AWAY_WIN,AWAY_WIN,True,0.3174,0.2947,0.3879,1.0040,1.1429,0.9469,0.1874,0.3879,False
2022-11-29T18:00:00,GROUP_STAGE,Netherlands,Qatar,2,0,HOME_WIN,HOME_WIN,True,0.5907,0.2353,0.1740,1.7251,0.8128,0.5264,0.0844,0.5907,False
2022-11-29T22:00:00,GROUP_STAGE,Wales,England,0,3,AWAY_WIN,AWAY_WIN,True,0.2691,0.2828,0.4482,0.9355,1.2956,0.8026,0.1523,0.4482,False
2022-11-29T22:00:00,GROUP_STAGE,IR Iran,USA,0,1,AWAY_WIN,AWAY_WIN,True,0.2355,0.3240,0.4405,0.6958,1.0710,0.8198,0.1578,0.4405,False
2022-11-30T18:00:00,GROUP_STAGE,Australia,Denmark,1,0,HOME_WIN,AWAY_WIN,False,0.1549,0.2123,0.6328,0.8390,1.9433,1.8648,0.3866,0.6328,False
2022-11-30T18:00:00,GROUP_STAGE,Tunisia,France,1,0,HOME_WIN,AWAY_WIN,False,0.0742,0.1413,0.7844,0.6668,2.5751,2.6004,0.4974,0.7844,True
2022-11-30T22:00:00,GROUP_STAGE,Saudi Arabia,Mexico,1,2,AWAY_WIN,AWAY_WIN,True,0.1008,0.1840,0.7153,0.6458,2.1160,0.3351,0.0417,0.7153,False
2022-11-30T22:00:00,GROUP_STAGE,Poland,Argentina,0,2,AWAY_WIN,AWAY_WIN,True,0.1703,0.2311,0.5986,0.8171,1.7636,0.5132,0.0812,0.5986,False
2022-12-01T18:00:00,GROUP_STAGE,Canada,Morocco,1,2,AWAY_WIN,HOME_WIN,False,0.4835,0.2776,0.2389,1.3618,0.8675,1.4318,0.2967,0.4835,False
2022-12-01T18:00:00,GROUP_STAGE,Croatia,Belgium,0,0,DRAW,AWAY_WIN,False,0.3400,0.2455,0.4145,1.3796,1.5475,1.4045,0.2856,0.4145,False
2022-12-01T22:00:00,GROUP_STAGE,Japan,Spain,2,1,HOME_WIN,AWAY_WIN,False,0.1732,0.2228,0.6040,0.8769,1.8539,1.7531,0.3660,0.6040,False
2022-12-01T22:00:00,GROUP_STAGE,Costa Rica,Germany,2,4,AWAY_WIN,AWAY_WIN,True,0.1066,0.1815,0.7119,0.7021,2.1733,0.3398,0.0424,0.7119,False
2022-12-02T18:00:00,GROUP_STAGE,Ghana,Uruguay,0,2,AWAY_WIN,AWAY_WIN,True,0.2855,0.2762,0.4384,1.0153,1.3286,0.8247,0.1577,0.4384,False
2022-12-02T18:00:00,GROUP_STAGE,South Korea,Portugal,2,1,HOME_WIN,AWAY_WIN,False,0.1989,0.2253,0.5758,0.9918,1.8542,1.6147,0.3413,0.5758,False
2022-12-02T22:00:00,GROUP_STAGE,Serbia,Switzerland,2,3,AWAY_WIN,AWAY_WIN,True,0.2550,0.2763,0.4687,0.9243,1.3593,0.7578,0.1412,0.4687,False
2022-12-02T22:00:00,GROUP_STAGE,Cameroon,Brazil,1,0,HOME_WIN,AWAY_WIN,False,0.0394,0.0999,0.8607,0.5121,2.9558,3.2345,0.5579,0.8607,True
2022-12-03T18:00:00,GROUP_STAGE,Netherlands,USA,3,1,HOME_WIN,HOME_WIN,True,0.7074,0.1875,0.1051,2.0903,0.6585,0.3462,0.0440,0.7074,False
2022-12-03T22:00:00,GROUP_STAGE,Argentina,Australia,2,1,HOME_WIN,HOME_WIN,True,0.7501,0.1564,0.0935,2.4723,0.7535,0.2875,0.0319,0.7501,False
2022-12-04T18:00:00,GROUP_STAGE,France,Poland,3,1,HOME_WIN,HOME_WIN,True,0.6628,0.2138,0.1234,1.8587,0.6515,0.4113,0.0582,0.6628,False
2022-12-04T22:00:00,GROUP_STAGE,England,Senegal,3,0,HOME_WIN,HOME_WIN,True,0.4309,0.2818,0.2874,1.2818,0.9917,0.8420,0.1620,0.4309,False
2022-12-05T22:00:00,GROUP_STAGE,Brazil,South Korea,4,1,HOME_WIN,HOME_WIN,True,0.7310,0.1651,0.1038,2.3965,0.7843,0.3133,0.0368,0.7310,False
2022-12-06T22:00:00,GROUP_STAGE,Portugal,Switzerland,6,1,HOME_WIN,HOME_WIN,True,0.4195,0.2724,0.3081,1.3300,1.0987,0.8687,0.1687,0.4195,False
2022-12-10T18:00:00,GROUP_STAGE,Morocco,Portugal,1,0,HOME_WIN,AWAY_WIN,False,0.1948,0.2576,0.5475,0.7983,1.5344,1.6357,0.3382,0.5475,False
2022-12-10T22:00:00,GROUP_STAGE,England,France,1,2,AWAY_WIN,AWAY_WIN,True,0.2588,0.2967,0.4445,0.8472,1.2081,0.8108,0.1545,0.4445,False
2022-12-13T22:00:00,GROUP_STAGE,Argentina,Croatia,3,0,HOME_WIN,HOME_WIN,True,0.4126,0.2489,0.3385,1.5118,1.3467,0.8853,0.1739,0.4126,False
2022-12-14T22:00:00,GROUP_STAGE,France,Morocco,2,0,HOME_WIN,HOME_WIN,True,0.6636,0.2224,0.1141,1.7586,0.5672,0.4101,0.0585,0.6636,False
2022-12-17T18:00:00,GROUP_STAGE,Croatia,Morocco,2,1,HOME_WIN,HOME_WIN,True,0.5889,0.2343,0.1769,1.7382,0.8320,0.5295,0.0851,0.5889,False
